Architecture,Parallel_Channels,NUM_PE,MACS_PER_PE,Buffer_Size,Total_MACs,DMA_Cycles,Compute_Cycles,Total_Cycles
ISC,1,3,3,9,9,1207808,401408,1609216
ISC,2,6,3,18,18,806400,200704,1007104
ISC,4,12,3,36,36,705152,100352,805504
ISC,8,24,3,72,72,604800,50176,654976
ISC,16,48,3,144,144,604800,25088,629888
ISC,32,96,3,288,288,604800,12544,617344
ISC,48,144,3,432,432,604800,12544,617344
WS,1,3,3,9,9,802880,401408,1204288
WS,2,6,3,18,18,602160,200704,802864
WS,4,12,3,36,36,501800,100352,602152
WS,8,24,3,72,72,451620,50176,501796
WS,16,48,3,144,144,451620,25088,476708
WS,32,96,3,288,288,451620,12544,464164
WS,48,144,3,432,432,451620,12544,464164
WSIS,1,3,3,9,9,405056,401408,806464
WSIS,2,6,3,18,18,204336,200704,405040
WSIS,4,12,3,36,36,203432,100352,303784
WSIS,8,24,3,72,72,153252,50176,203428
WSIS,16,48,3,144,144,153252,25088,178340
WSIS,32,96,3,288,288,153252,12544,165796
WSIS,48,144,3,432,432,153252,12544,165796
TL,1,3,3,9,9,1204224,401408,1605632
TL,2,6,3,18,18,1003520,200704,1204224
TL,4,12,3,36,36,903168,100352,1003520
TL,8,24,3,72,72,903168,50176,953344
TL,16,48,3,144,144,903168,25088,928256
TL,32,96,3,288,288,903168,12544,915712
TL,48,144,3,432,432,903168,12544,915712
