Architecture,Parallel_Channels,Total_MACs,cpu_core_cache,references_cpu_core_cache,misses_cpu_core_miss,percentagecpu_core,cycles_cpu_core,instructions_cpu_core,branches_time_elapsed,seconds,Sim_Total_Cycles
ISC,1,9,107443,107443,69832,64.99,126910894,544113162,67820836,0.030622453,1609216
ISC,2,18,125850,125850,76763,61.0,122012700,520700943,64222905,0.028215654,1007104
ISC,4,36,103098,103098,71531,69.38,121181722,508752742,62371752,0.028271248,805504
ISC,8,72,105589,105589,69862,66.16,118488269,502889068,61469683,0.027298464,654976
ISC,16,144,102817,102817,64079,62.32,116476251,499958886,61018508,0.026892275,629888
ISC,32,288,110195,110195,70241,63.74,114702479,498494208,60793551,0.026855743,617344
ISC,48,432,100733,100733,60830,60.39,128272930,563918668,64599268,0.031033956,617344
WS,1,9,105906,105906,60247,56.89,123978866,517189692,70864772,0.029952452,1204288
WS,2,18,104464,104464,68526,65.6,124562416,501210641,68825859,0.029139025,802864
WS,4,36,108121,108121,62509,57.81,119652065,493351456,67832453,0.028614697,602152
WS,8,72,106519,106519,65426,61.42,118145603,489448622,67339922,0.028151679,501796
WS,16,144,124988,124988,73227,58.59,118515116,487437135,67084119,0.028607892,476708
WS,32,288,113753,113753,73235,64.38,114424260,486530514,66979005,0.027105159,464164
WS,48,432,109805,109805,67380,61.36,127167370,539591934,70594153,0.029483249,464164
WSIS,1,9,111678,111678,67142,60.12,109364644,464770317,63335522,0.025223115,806464
WSIS,2,18,102338,102338,60877,59.49,106128972,447023350,60903254,0.024516831,405040
WSIS,4,36,112705,112705,69204,61.4,106067692,438337516,59726995,0.024453638,303784
WSIS,8,72,101757,101757,67993,66.82,104648447,433761921,59091521,0.024229189,203428
WSIS,16,144,106617,106617,72156,67.68,103845276,431669308,58814616,0.0242611,178340
WSIS,32,288,117807,117807,74278,63.05,102849903,430702051,58693334,0.024254945,165796
WSIS,48,432,106292,106292,67826,63.81,122769237,526494958,65839053,0.02878972,165796
TL,1,9,117498,117498,75467,64.23,150857759,635748797,75758124,0.03638533,1605632
TL,2,18,113257,113257,70625,62.36,159910118,610177482,70928379,0.036974262,1204224
TL,4,36,102145,102145,64785,63.42,146223645,598364431,68865261,0.033440483,1003520
TL,8,72,111159,111159,68392,61.53,143075892,593320780,68073582,0.032650269,953344
TL,16,144,108046,108046,70875,65.6,141884393,590382636,67506255,0.034249134,928256
TL,32,288,106307,106307,67184,63.2,140154695,588889344,67212488,0.033778412,915712
TL,48,432,107544,107544,68642,63.83,151912517,642210424,70862076,0.036675798,915712
